year,school-1,school-2,score-1,score-2,school-1-result
2014,Dedham,Newton North,,,
2014,Dedham,Norwood,,,
2014,Dedham,Walpole,,,
2014,Dedham,Wellesley,,,
2014,Dedham,Weymouth,,,
2014,Framingham,Natick,,,
2014,Framingham,Needham,86,94,L
2014,Framingham,Newton North,,,
2014,Framingham,Norwood,,,
2014,Framingham,Walpole,,,
2014,Framingham,Wellesley,,,
2014,Framingham,Weymouth,,,
2014,Natick,Needham,87,94,L
2014,Natick,Newton North,,,
2014,Natick,Norwood,,,
2014,Natick,Walpole,,,
2014,Natick,Wellesley,,,
2014,Natick,Weymouth,,,
2014,Needham,Newton North,82,102,L
2014,Needham,Norwood,97,81,W
2014,Needham,Walpole,,,W
2014,Needham,Wellesley,,,
2014,Needham,Weymouth,,,
2014,Newton North,Norwood,,,
2014,Newton North,Walpole,,,
2014,Newton North,Wellesley,,,
2014,Newton North,Weymouth,,,
2014,Norwood,Walpole,,,
2014,Norwood,Wellesley,,,
2014,Norwood,Weymouth,,,
2014,Walpole,Wellesley,,,
2014,Walpole,Weymouth,,,
2014,Wellesley,Weymouth,,,
2013,Braintree,Brookline,,,
2013,Braintree,Dedham,,,
2013,Braintree,Framingham,,,
2013,Braintree,Natick,,,
2013,Braintree,Needham,89,96,L
2013,Braintree,Newton North,,,
2013,Braintree,Norwood,,,
2013,Braintree,Walpole,,,
2013,Braintree,Wellesley,,,
2013,Braintree,Weymouth,,,
2013,Brookline,Dedham,,,
2013,Brookline,Framingham,,,
2013,Brookline,Natick,,,
2013,Brookline,Needham,44,96,L
2013,Brookline,Newton North,,,
2013,Brookline,Norwood,,,
2013,Brookline,Walpole,,,
2013,Brookline,Wellesley,,,
2013,Brookline,Weymouth,,,
2013,Dedham,Framingham,,,
2013,Dedham,Natick,,,
2013,Dedham,Needham,69,93,L
2013,Dedham,Newton North,,,
2013,Dedham,Norwood,,,
2013,Dedham,Walpole,,,
2013,Dedham,Wellesley,,,
2013,Dedham,Weymouth,,,
2013,Framingham,Natick,,,
2013,Framingham,Needham,94,92,W
2013,Framingham,Newton North,,,
2013,Framingham,Norwood,,,
2013,Framingham,Walpole,,,
2013,Framingham,Wellesley,,,
2013,Framingham,Weymouth,,,
2013,Natick,Needham,97,98,L
2013,Natick,Newton North,,,
2013,Natick,Norwood,,,
2013,Natick,Walpole,,,
2013,Natick,Wellesley,,,
2013,Natick,Weymouth,,,
2013,Needham,Newton North,102,84,W
2013,Needham,Norwood,100,55,W
2013,Needham,Walpole,,,
2013,Needham,Wellesley,100,84,W
2013,Needham,Weymouth,90,80,W
2013,Newton North,Norwood,,,
2013,Newton North,Walpole,,,
2013,Newton North,Wellesley,,,
2013,Newton North,Weymouth,,,
2013,Norwood,Walpole,,,
2013,Norwood,Wellesley,,,
2013,Norwood,Weymouth,,,
2013,Walpole,Wellesley,,,
2013,Walpole,Weymouth,,,
2013,Wellesley,Weymouth,,,
2012,Braintree,Brookline,,,
2012,Braintree,Dedham,,,
2012,Braintree,Framingham,,,
2012,Braintree,Natick,,,
2012,Braintree,Needham,,,L
2012,Braintree,Newton North,,,
2012,Braintree,Norwood,,,
2012,Braintree,Walpole,,,
2012,Braintree,Wellesley,,,
2012,Braintree,Weymouth,,,
2012,Brookline,Dedham,,,
2012,Brookline,Framingham,,,
2012,Brookline,Natick,,,
2012,Brookline,Needham,85,95,L
2012,Brookline,Newton North,,,
2012,Brookline,Norwood,,,
2012,Brookline,Walpole,,,
2012,Brookline,Wellesley,,,
2012,Brookline,Weymouth,,,
2012,Dedham,Framingham,,,
2012,Dedham,Natick,,,
2012,Dedham,Needham,,,L
2012,Dedham,Newton North,,,
2012,Dedham,Norwood,,,
2012,Dedham,Walpole,,,
2012,Dedham,Wellesley,,,
2012,Dedham,Weymouth,,,
2012,Framingham,Natick,,,
2012,Framingham,Needham,,,W
2012,Framingham,Newton North,,,
2012,Framingham,Norwood,,,
2012,Framingham,Walpole,,,
2012,Framingham,Wellesley,,,
2012,Framingham,Weymouth,,,
2012,Natick,Needham,,,
2012,Natick,Newton North,,,
2012,Natick,Norwood,,,
2012,Natick,Walpole,,,
2012,Natick,Wellesley,,,
2012,Natick,Weymouth,,,
2012,Needham,Newton North,,,
2012,Needham,Norwood,100,84,W
2012,Needham,Walpole,,,
2012,Needham,Wellesley,101,85,W
2012,Needham,Weymouth,94,74,W
2012,Newton North,Norwood,,,
