year,division,place,school,score
2008,Division 1 State,8,Brookline,65
2008,Division 1 State,9,New Bedford,54
2008,Division 1 State,10,Durfee,52
2008,Division 1 State,11,Fontbonne Academy,47
2008,Division 1 State,12,Lowell,25
2008,Division 1 State,12,Brockton,25
2008,Division 1 State,14,Methuen,23
2008,Division 1 State,15,Braintree,21
2008,Division 1 State,16,Marshfield,11
2008,Division 1 State,17,Newton North,4
2008,Division 1 State,17,Boston Latin,4
2008,Division 1 State,19,Weymouth,2
2008,Division 2 State,1,Notre Dame Academy - Hingham,238
2008,Division 2 State,2,Bishop Feehan,183.5
2008,Division 2 State,3,Bishop Stang,180.5
2008,Division 2 State,4,Winchester,152
2008,Division 2 State,5,Belmont,95
2008,Division 2 State,6,Lawrence Central Catholic,85
2008,Division 2 State,7,Norwood,63
2008,Division 2 State,8,Seekonk,61
2008,Division 2 State,9,Wellesley,58
2008,Division 2 State,10,Ursuline Academy,50
2008,Division 2 State,11,Westwood,37
2008,Division 2 State,12,Walpole,36
2008,Division 2 State,13,Dracut,31
2008,Division 2 State,13,Burlington,31
2008,Division 2 State,15,Apponequet Regional,24
2008,Division 2 State,16,Milford,22
2008,Division 2 State,17,Notre Dame Academy - Worcester,17
2008,Division 2 State,18,Dedham,12
2008,Division 2 State,19,Stoneham,9
2008,Division 2 State,20,Natick,5
2008,Division 2 State,21,Wakefield,4
2008,Division 2 State,22,Melrose,1
2007,Division 1 State,1,Andover,245
2007,Division 1 State,2,Chelmsford,227
2007,Division 1 State,3,Acton-Boxborough,211
2007,Division 1 State,4,Reading,134
2007,Division 1 State,5,Framingham,95
2007,Division 1 State,6,Lexington,86
2007,Division 1 State,7,Haverhill,84
2007,Division 1 State,8,Methuen,82
2007,Division 1 State,9,Brookline,56
2007,Division 1 State,10,Lowell,43
2007,Division 1 State,11,Fontbonne Academy,39
2007,Division 1 State,12,Durfee,31
2007,Division 1 State,13,Brockton,25
2007,Division 1 State,14,Boston Latin,22
2007,Division 1 State,15,Braintree,12
2007,Division 1 State,16,Needham,2
2007,Division 1 State,17,Weymouth,1
2007,Division 2 State,1,Notre Dame Academy - Hingham,233.5
2007,Division 2 State,2,Bishop Stang,195
2007,Division 2 State,3,Bishop Feehan,186
2007,Division 2 State,4,Winchester,112
2007,Division 2 State,5,Lawrence Central Catholic,90
2007,Division 2 State,6,Milford,87
2007,Division 2 State,7,Norwood,78
2007,Division 2 State,8,Dracut,59
2007,Division 2 State,9,Belmont,56
2007,Division 2 State,10,Natick,49
2007,Division 2 State,11,Wellesley,47
2007,Division 2 State,12,Stoneham,36
2007,Division 2 State,13,Dedham,28
2007,Division 2 State,14,Westwood,24
2007,Division 2 State,15,Burlington,22.5
2007,Division 2 State,16,Seekonk,21
2007,Division 2 State,17,Apponequet Regional,16
2007,Division 2 State,17,Academy Notre Dame-Tyngsboro,16
2007,Division 2 State,19,Notre Dame Academy - Worcester,14
2007,Division 2 State,20,Ursuline Academy,11
2007,Division 2 State,21,Walpole,8
2006,Division 1 State,1,Andover,301
2006,Division 1 State,2,Chelmsford,288
2006,Division 1 State,3,Acton-Boxborough,220
2006,Division 1 State,4,Reading,104
2006,Division 1 State,5,Framingham,89
2006,Division 1 State,6,Haverhill,80
2006,Division 1 State,7,Durfee,51
2006,Division 1 State,7,Lexington,51
2006,Division 1 State,9,Brookline,50
2006,Division 1 State,10,Methuen,49
2006,Division 1 State,11,Lowell,40
2006,Division 1 State,12,Brockton,26
2006,Division 1 State,13,Needham,15
2006,Division 1 State,14,Cambridge Rindge & Latin,8
2006,Division 1 State,15,Sandwich,7
2006,Division 1 State,16,Fontbonne Academy,6
2006,Division 1 State,17,Boston Latin,4
2006,Division 1 State,18,Braintree,3
2006,Division 2 State,1,Notre Dame Academy - Hingham,233
2006,Division 2 State,2,Bishop Stang,156.5
2006,Division 2 State,3,Bishop Feehan,143
2006,Division 2 State,4,Winchester,124
2006,Division 2 State,5,Lawrence Central Catholic,78
2006,Division 2 State,6,Norwood,73
2006,Division 2 State,7,Dedham,70
2006,Division 2 State,8,Burlington,63
2006,Division 2 State,9,Belmont,61
2006,Division 2 State,10,Natick,55.5
2006,Division 2 State,11,Stoneham,50
2006,Division 2 State,12,Milford,48
2006,Division 2 State,13,Walpole,38
