year	division	place	school	score
2006	South Sectional Championships	3	Framingham	141
2006	South Sectional Championships	4	Bishop Feehan	129
2006	South Sectional Championships	5	Dedham	96
2006	South Sectional Championships	6	Brookline	77
2006	South Sectional Championships	7	Milford	75
2006	South Sectional Championships	8	Natick	74
2006	South Sectional Championships	9	Durfee	60
2006	South Sectional Championships	10	Norwood	56
2006	South Sectional Championships	11	Walpole	52
2006	South Sectional Championships	12	Ursuline Academy	32
2006	South Sectional Championships	13	Seekonk	28
2006	South Sectional Championships	14	Apponequet	26
2006	South Sectional Championships	15	Brockton	25.5
2006	South Sectional Championships	16	Fontbonne Academy	18
2006	South Sectional Championships	17	Westwood	17
2006	South Sectional Championships	18	Wellesley	16
2006	South Sectional Championships	19	Sandwich	11
2006	South Sectional Championships	20	Stoughton	10
2006	South Sectional Championships	21	Canton	9
2006	South Sectional Championships	22	Needham	7
2006	South Sectional Championships	23	New Bedford	3
2005	North Sectional Championships	1	Andover
2005	North Sectional Championships	2	Acton-Boxbourgh
2005	South Sectional Championships	1	Notre Dame Academy - Hingham
2005	South Sectional Championships	2	Bishop Stang
2004	North Sectional Championships	1	Andover	336
2004	North Sectional Championships	2	Acton-Boxborough	252
2004	North Sectional Championships	3	Chelmsford	167
2004	North Sectional Championships	4	Belmont	112
2004	North Sectional Championships	5	Central Catholic High Schol	93
2004	North Sectional Championships	5	Reading	93
